                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.92009,                0.60085,                 1.5723,                0.98238,                0.62405,                 1.5585,                0.94168,                0.95376,                0.98578,                0.80385,                0.72576,                0.39535,                 1.5359,                0.75517,                0.35149,                 1.5893,               0.006238,               0.006238,               0.006238
                     41,                0.91788,                0.61929,                 1.5613,                0.97271,                0.66925,                 1.5453,                0.95311,                0.91561,                 0.9777,                0.80134,                0.69037,                0.41057,                 1.4979,                0.72429,                0.39683,                 1.5761,               0.006139,               0.006139,               0.006139
                     42,                0.90078,                0.59511,                 1.5525,                0.95327,                0.61612,                 1.5452,                0.95679,                0.92827,                0.98591,                0.80942,                0.70229,                0.40253,                 1.4994,                0.74355,                0.33989,                 1.5741,                0.00604,                0.00604,                0.00604
                     43,                0.91433,                0.60765,                  1.563,                0.97204,                0.64547,                 1.5501,                0.95341,                0.94984,                0.98837,                 0.7949,                0.75315,                0.39932,                 1.5472,                0.78322,                 0.3551,                 1.6223,               0.005941,               0.005941,               0.005941
                     44,                0.89618,                0.60048,                 1.5482,                0.95435,                0.62433,                 1.5315,                0.91984,                0.93671,                0.97542,                0.78696,                0.75344,                0.41238,                 1.5386,                0.79604,                0.43359,                 1.6072,               0.005842,               0.005842,               0.005842
                     45,                0.90456,                0.59503,                  1.559,                0.95725,                0.62681,                 1.5436,                0.94926,                0.93671,                0.98592,                0.79797,                0.72127,                0.38772,                 1.5234,                 0.7671,                0.36371,                 1.5841,               0.005743,               0.005743,               0.005743
                     46,                0.88101,                0.58771,                 1.5413,                 0.9387,                0.59794,                 1.5264,                0.93654,                0.94093,                0.98357,                0.79137,                0.73211,                0.40351,                 1.5279,                0.81195,                0.36569,                 1.6601,               0.005644,               0.005644,               0.005644
                     47,                0.88184,                0.58138,                 1.5328,                0.94017,                0.59987,                 1.5258,                0.95862,                0.93249,                0.98411,                0.80516,                0.72733,                0.38784,                 1.5043,                0.77823,                0.35949,                 1.5844,               0.005545,               0.005545,               0.005545
                     48,                0.88514,                0.57784,                 1.5268,                0.93774,                0.60819,                 1.5155,                0.96542,                0.93671,                0.98648,                0.79357,                0.72038,                0.39336,                 1.5036,                 0.8235,                0.37328,                  1.651,               0.005446,               0.005446,               0.005446
                     49,                0.88588,                0.57171,                 1.5313,                0.94237,                 0.5752,                 1.5302,                0.95245,                0.92827,                0.98495,                0.80969,                0.69871,                0.37797,                  1.516,                 0.7356,                0.34147,                 1.5533,               0.005347,               0.005347,               0.005347
                     50,                0.87111,                0.57709,                  1.514,                0.92881,                0.59142,                 1.5169,                0.97766,                0.92323,                0.98534,                0.81132,                0.70312,                0.36983,                 1.4973,                0.75198,                0.33963,                 1.5499,               0.005248,               0.005248,               0.005248
                     51,                0.88257,                0.57463,                 1.5305,                0.93115,                0.59736,                 1.5196,                0.92573,                0.96203,                0.98641,                0.80837,                0.71376,                0.37058,                  1.518,                0.78083,                0.31983,                 1.6085,               0.005149,               0.005149,               0.005149
                     52,                0.89019,                0.57534,                 1.5433,                0.93908,                0.59953,                 1.5352,                0.95937,                 0.9789,                 0.9919,                0.82311,                0.71762,                0.38347,                  1.512,                0.74704,                 0.2988,                 1.5653,                0.00505,                0.00505,                0.00505
                     53,                0.87343,                0.57984,                 1.5215,                0.92072,                0.60048,                  1.504,                0.94944,                0.95091,                 0.9886,                0.81803,                0.72837,                  0.369,                  1.527,                0.77309,                0.30671,                 1.5779,               0.004951,               0.004951,               0.004951
                     54,                0.86106,                0.56532,                 1.5031,                0.90192,                0.59916,                   1.48,                0.97471,                0.97579,                0.99229,                0.81614,                0.74456,                0.39168,                 1.5533,                0.78409,                0.29885,                 1.5817,               0.004852,               0.004852,               0.004852
                     55,                0.87977,                0.55576,                 1.5127,                0.92632,                0.57169,                 1.5064,                0.96888,                0.94937,                0.98898,                 0.8114,                0.73285,                0.37481,                 1.5176,                0.78147,                0.34691,                 1.5534,               0.004753,               0.004753,               0.004753
                     56,                0.87829,                0.55969,                 1.5106,                 0.9171,                0.57492,                  1.497,                0.95732,                 0.9465,                0.98551,                 0.8081,                0.72444,                0.37134,                 1.5188,                0.77185,                0.34921,                  1.567,               0.004654,               0.004654,               0.004654
                     57,                0.84368,                0.53662,                 1.4871,                0.89359,                 0.5373,                 1.4741,                0.97798,                0.95359,                0.98907,                 0.8134,                0.69221,                0.35664,                 1.4916,                0.73725,                0.32193,                 1.5524,               0.004555,               0.004555,               0.004555
                     58,                0.86741,                 0.5621,                 1.4943,                0.91622,                0.57386,                 1.4724,                0.95997,                0.94937,                0.98997,                0.82391,                 0.6931,                0.36288,                 1.4685,                0.72761,                0.31061,                 1.5384,               0.004456,               0.004456,               0.004456
                     59,                0.84886,                0.55007,                 1.4867,                0.90886,                0.56207,                   1.47,                0.96144,                0.95781,                 0.9888,                0.80394,                0.69993,                 0.3694,                 1.4781,                0.76746,                0.32881,                 1.5754,               0.004357,               0.004357,               0.004357
                     60,                 0.8595,                0.54473,                 1.5008,                0.91091,                0.52964,                 1.4869,                0.94843,                0.90295,                0.98202,                0.81501,                0.71881,                0.36365,                  1.486,                0.74225,                 0.3707,                 1.5305,               0.004258,               0.004258,               0.004258
                     61,                0.83477,                0.53232,                 1.4763,                 0.8872,                 0.5449,                 1.4681,                0.95829,                 0.9695,                0.99007,                0.83281,                0.66661,                 0.3527,                 1.4498,                0.69771,                0.31504,                 1.4916,               0.004159,               0.004159,               0.004159
                     62,                0.83613,                0.51885,                 1.4853,                0.88505,                0.51015,                 1.4709,                0.93448,                0.96288,                0.98585,                0.82086,                0.69304,                0.34869,                 1.4616,                0.73837,                0.32792,                 1.5112,                0.00406,                0.00406,                0.00406
                     63,                0.82846,                0.54272,                 1.4631,                0.87584,                 0.5409,                  1.454,                0.96712,                0.96203,                 0.9923,                0.83961,                0.65742,                0.35128,                 1.4275,                0.68425,                0.29193,                 1.4631,               0.003961,               0.003961,               0.003961
                     64,                0.83306,                 0.5317,                 1.4698,                0.89089,                0.52176,                 1.4597,                 0.9649,                0.95781,                0.99023,                0.82231,                0.71207,                0.35258,                 1.4887,                0.74547,                 0.3097,                 1.5341,               0.003862,               0.003862,               0.003862
                     65,                0.83319,                0.53569,                 1.4725,                0.87649,                0.53769,                 1.4484,                0.96963,                 0.9431,                0.98757,                0.81241,                0.71586,                0.36162,                 1.4919,                  0.744,                0.34748,                 1.5331,               0.003763,               0.003763,               0.003763
                     66,                 0.8518,                0.54704,                 1.4817,                0.89208,                 0.5431,                 1.4571,                0.98068,                0.95359,                0.99166,                0.83085,                0.67905,                0.34273,                 1.4555,                0.69933,                 0.2978,                 1.4927,               0.003664,               0.003664,               0.003664
                     67,                0.83792,                0.52741,                 1.4813,                0.87814,                0.53561,                 1.4628,                0.95377,                 0.9576,                0.99109,                0.83437,                0.66322,                0.33944,                 1.4456,                 0.7041,                0.28886,                 1.4774,               0.003565,               0.003565,               0.003565
                     68,                0.83235,                0.52285,                 1.4848,                0.87688,                0.52597,                 1.4616,                0.99566,                0.96786,                0.99314,                0.83776,                0.66452,                0.33992,                 1.4353,                0.69122,                0.26313,                 1.4675,               0.003466,               0.003466,               0.003466
                     69,                0.82794,                0.51696,                  1.476,                0.87378,                0.50604,                 1.4482,                0.98631,                 0.9789,                0.99385,                0.83016,                0.70201,                0.36381,                 1.4701,                0.73692,                0.26923,                 1.5183,               0.003367,               0.003367,               0.003367
                     70,                0.80967,                0.51781,                 1.4501,                0.84699,                0.50306,                  1.423,                0.95393,                0.96624,                0.98861,                0.83425,                0.65529,                0.34825,                 1.4348,                0.68898,                 0.3042,                 1.4842,               0.003268,               0.003268,               0.003268
